season,GAME_ID,home_abbr,away_abbr,home_win,home_b2b,away_b2b,home_rest_days,away_rest_days,rest_diff,diff_recent_margin,diff_recent_win_pct,diff_pts_pg_to_date,split_win_pct_delta
2014-15,21401169,DEN,LAL,1,0.0,1,3.0,0.0,3.0,1.3000000000000007,-0.09999999999999998,2.8470588235294088,0.21923076923076923
2014-15,21401168,SAS,HOU,1,1.0,0,0.0,2.0,-2.0,14.299999999999999,0.09999999999999998,2.0235294117646987,0.1339977851605758
2014-15,21401170,UTA,SAC,1,0.0,1,2.0,0.0,2.0,0.9999999999999999,0.0,4.322549019607834,0.24390243902439024
2014-15,21401171,DAL,PHX,1,0.0,1,3.0,0.0,3.0,1.2999999999999998,0.0,2.564705882352939,0.17552602436323367
2014-15,21401161,ORL,CHI,1,0.0,0,3.0,2.0,1.0,-12.399999999999999,-0.3,-7.764705882352956,-0.20325203252032525
2014-15,21401163,BKN,ATL,0,0.0,1,1.0,0.0,1.0,-2.4,0.30000000000000004,-7.91107286288009,-0.1312427409988386
2014-15,21401167,MIL,CLE,0,0.0,0,3.0,2.0,1.0,-13.9,-0.4,-5.36904761904762,0.024390243902439046
2014-15,21401164,DET,BOS,0,0.0,0,3.0,3.0,0.0,0.5,0.09999999999999998,-1.0236694677871157,0.04878048780487804
2014-15,21401165,NYK,IND,0,0.0,0,2.0,2.0,0.0,-13.1,-0.30000000000000004,-8.690476190476204,-0.06504065040650403
2014-15,21401160,CHA,TOR,0,1.0,0,0.0,3.0,-3.0,-1.4000000000000001,-0.09999999999999998,-5.388235294117649,-0.048213272830402776
2014-15,21401162,PHI,WAS,0,0.0,0,2.0,3.0,-1.0,0.20000000000000018,-0.3,-9.135294117647064,-0.10569105691056913
2014-15,21401154,ATL,PHX,1,0.0,0,2.0,2.0,0.0,1.9,0.0,4.4776247848537025,0.39024390243902435
2014-15,21401158,SAC,MIN,1,0.0,0,1.0,3.0,-2.0,7.999999999999999,0.2,3.6506024096385516,0.1846689895470383
2014-15,21401155,MIA,CHA,1,0.0,0,1.0,2.0,-1.0,-5.7,-0.10000000000000003,-0.40938375350138756,0.09926262053318208
2014-15,21401159,LAC,LAL,1,0.0,0,1.0,1.0,0.0,23.7,0.6000000000000001,11.996954595791806,0.4375764993880049
2014-15,21401156,NOP,GSW,1,0.0,0,2.0,1.0,1.0,-8.7,-0.4,-8.832600992204107,-0.022222222222222254
