gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022000107,1610612745,Houston,Rockets,HOU,rockets,240:00,529.7,105.9,570.0,114.0,-40.3,-8.1,0.487,1.19,14.6,0.262,0.68,0.489,15.842,15.8,0.531,0.579,1.0,0.982,20.1,100.5,83.75,101.0,0.483
0022100960,1610612738,Boston,Celtics,BOS,celtics,240:00,630.0,126.0,594.1,118.8,35.9,7.2,0.625,2.5,18.4,0.239,0.667,0.451,10.0,10.0,0.584,0.632,1.0,0.991,20.1,100.5,83.75,100.0,0.526
0022100960,1610612751,Brooklyn,Nets,BKN,nets,240:00,594.1,118.8,630.0,126.0,-35.9,-7.2,0.533,1.5,17.1,0.333,0.761,0.549,15.842,15.8,0.573,0.613,1.0,0.966,20.1,100.5,83.75,101.0,0.474
0022200309,1610612765,Detroit,Pistons,DET,pistons,240:00,539.2,107.8,686.3,137.3,-147.1,-29.4,0.667,1.75,20.3,0.178,0.591,0.382,15.686,15.7,0.584,0.599,1.0,0.982,20.4,102.0,85.0,102.0,0.393
0022200309,1610612752,New York,Knicks,NYK,knicks,240:00,686.3,137.3,539.2,107.8,147.1,29.4,0.574,2.21,20.5,0.409,0.822,0.618,13.725,13.7,0.646,0.665,1.0,0.983,20.4,102.0,85.0,102.0,0.607
0021400914,1610612755,Philadelphia,76ers,PHI,sixers,240:00,446.2,89.2,478.5,95.7,-32.3,-6.5,0.688,1.57,16.5,0.317,0.0,0.0,15.054,15.1,0.42,0.433,1.0,0.982,18.6,93.0,77.5,93.0,0.425
0021400914,1610612762,Utah,Jazz,UTA,jazz,240:00,478.5,95.7,446.2,89.2,32.3,6.5,0.63,0.89,13.3,0.0,0.683,0.0,20.43,20.4,0.423,0.5,1.0,0.982,18.6,93.0,77.5,93.0,0.575
0021800864,1610612753,Orlando,Magic,ORL,magic,240:00,648.0,129.6,449.5,89.9,198.5,39.7,0.667,4.57,23.0,0.205,0.721,0.505,7.143,7.1,0.614,0.636,1.0,0.991,19.7,98.5,82.08,98.0,0.711
0021800864,1610612766,Charlotte,Hornets,CHA,hornets,240:00,449.5,89.9,648.0,129.6,-198.5,-39.7,0.545,2.25,13.6,0.279,0.795,0.495,8.081,8.1,0.372,0.422,1.0,0.991,19.7,98.5,82.08,99.0,0.289
0022000058,1610612748,Miami,Heat,MIA,heat,240:00,561.3,112.3,514.3,102.9,47.0,9.4,0.625,1.14,17.2,0.311,0.714,0.546,20.755,20.8,0.579,0.628,1.0,0.967,21.1,105.5,87.92,106.0,0.556
