season,GAME_ID,home_abbr,away_abbr,home_win,home_b2b,away_b2b,home_rest_days,away_rest_days,rest_diff,diff_recent_margin,diff_recent_win_pct,diff_pts_pg_to_date,split_win_pct_delta,season_start_year,split,Game_Type
2014-15,21401221,MIL,BOS,0,0.0,1,1.0,0.0,1.0,-4.8,-0.2,-0.4808478038815167,0.0930232558139534,2014,train,regular
2014-15,21401226,NYK,DET,0,0.0,0,1.0,1.0,0.0,-9.2,-0.1,-7.784090909090906,-0.0850951374207187,2014,train,regular
2014-15,21401230,LAL,SAC,0,0.0,0,1.0,1.0,0.0,-5.9,0.0,-3.364530132788559,0.0625,2014,train,regular
2014-15,21401222,MIN,OKC,0,0.0,0,1.0,1.0,0.0,-7.800000000000001,-0.3,-8.28409090909092,-0.1162790697674418,2014,train,regular
2014-15,21401215,IND,WAS,1,0.0,0,1.0,1.0,0.0,6.0,0.0999999999999999,-0.3491379310344911,0.1162790697674418,2014,train,regular
2014-15,21401214,BOS,TOR,1,0.0,0,1.0,2.0,-1.0,3.1000000000000005,0.0999999999999999,-2.63636363636364,-0.0570707070707071,2014,train,regular
2014-15,21401216,PHX,LAC,0,0.0,1,1.0,0.0,1.0,-23.8,-0.8,-5.259320735444334,0.0,2014,train,regular
2014-15,21401210,UTA,DAL,1,0.0,1,1.0,0.0,1.0,6.1,0.0999999999999999,-1.9204545454545467,-0.056553911205074,2014,train,regular
2014-15,21401203,CLE,DET,1,1.0,1,0.0,0.0,0.0,0.7,0.1999999999999999,5.172413793103445,0.4011627906976744,2014,train,regular
2014-15,21401209,OKC,POR,1,1.0,0,0.0,1.0,-1.0,-12.9,-0.3,-4.1264367816092005,0.1707188160676532,2014,train,regular
2014-15,21401211,SAC,LAL,1,1.0,1,0.0,0.0,0.0,5.9,0.0,3.1737199582027245,0.216860465116279,2014,train,regular
2014-15,21401213,LAC,DEN,1,0.0,1,1.0,0.0,1.0,14.4,0.5,8.704545454545453,0.4222222222222222,2014,train,regular
2014-15,21401207,MIA,ORL,1,0.0,0,1.0,1.0,0.0,-4.1,-0.1,2.465909090909093,0.1309403437815975,2014,train,regular
2014-15,21401212,GSW,MEM,1,0.0,0,1.0,1.0,0.0,6.6,0.3,7.295454545454547,0.4069264069264069,2014,train,regular
2014-15,21401205,ATL,NYK,0,1.0,0,0.0,1.0,-1.0,20.6,0.4999999999999999,14.149425287356324,0.6786469344608879,2014,train,regular
2014-15,21401204,PHI,MIL,0,0.0,1,1.0,0.0,1.0,-8.2,-0.5,-8.80786311389761,-0.1062367864693445,2014,train,regular
2014-15,21401202,CHA,HOU,0,1.0,1,0.0,0.0,0.0,-10.5,-0.3999999999999999,-6.0909090909090935,-0.1363636363636363,2014,train,regular
2014-15,21401208,MIN,NOP,0,0.0,1,1.0,0.0,1.0,-15.5,-0.6,-8.632183908045974,-0.1566998892580288,2014,train,regular
2014-15,21401206,BKN,CHI,0,1.0,0,0.0,1.0,-1.0,-3.6,0.0999999999999999,-4.916226215644826,-0.0465116279069767,2014,train,regular
2014-15,21401194,BOS,CLE,1,0.0,0,1.0,1.0,0.0,-4.9,-0.1,-4.758487035551994,-0.0476190476190476,2014,train,regular
2014-15,21401195,DET,CHA,1,0.0,0,1.0,1.0,0.0,3.0000000000000004,0.2,1.5155038759689887,0.1162790697674418,2014,train,regular
2014-15,21401193,MIL,BKN,1,0.0,0,1.0,1.0,0.0,-7.3,-0.3,1.8961696306429587,0.0714285714285715,2014,train,regular
2014-15,21401200,SAS,PHX,1,0.0,0,1.0,1.0,0.0,26.8,0.8,5.137931034482762,0.3356236786469345,2014,train,regular
2014-15,21401197,IND,OKC,1,0.0,0,1.0,1.0,0.0,6.800000000000001,0.1999999999999999,-0.744186046511615,0.1666666666666667,2014,train,regular
2014-15,21401196,DEN,SAC,1,0.0,0,1.0,1.0,0.0,1.0,0.0,-0.0847367014167446,0.1965669988925802,2014,train,regular
2014-15,21401198,WAS,ATL,1,0.0,0,1.0,1.0,0.0,-11.3,-0.1999999999999999,-5.041031809676554,0.0539112050739957,2014,train,regular
2014-15,21401199,HOU,NOP,1,0.0,0,1.0,1.0,0.0,0.0999999999999996,0.0999999999999999,1.616680032076971,0.3156146179401993,2014,train,regular
2014-15,21401201,LAL,DAL,0,0.0,0,1.0,1.0,0.0,-6.4,-0.1,-9.666666666666655,-0.2389905987135081,2014,train,regular
2014-15,21401192,GSW,MIN,1,0.0,1,1.0,0.0,1.0,20.9,0.7000000000000001,17.65931569099172,0.7239467849223946,2014,train,regular
2014-15,21401190,LAC,MEM,1,0.0,1,3.0,0.0,3.0,11.1,0.3,2.011494252873547,0.1236786469344608,2014,train,regular
2014-15,21401189,CHI,PHI,1,0.0,0,1.0,2.0,-1.0,14.0,0.5,11.287356321839084,0.5,2014,train,regular
2014-15,21401187,ORL,NYK,0,1.0,1,0.0,0.0,0.0,9.9,0.3,3.722534081796312,0.1781183932346722,2014,train,regular
2014-15,21401188,MIA,TOR,0,0.0,1,1.0,0.0,1.0,-11.2,-0.3,-5.931034482758619,-0.0914728682170542,2014,train,regular
2014-15,21401191,POR,UTA,0,0.0,1,1.0,0.0,1.0,4.4,0.1999999999999999,3.976877840149698,0.3588794926004228,2014,train,regular
2014-15,21401177,BKN,WAS,1,0.0,0,1.0,1.0,0.0,-0.3,0.1999999999999999,-3.500830564784053,0.0238095238095237,2014,train,regular
2014-15,21401176,ATL,CHA,1,0.0,0,1.0,1.0,0.0,8.0,0.3,7.771545827633361,0.4999999999999999,2014,train,regular
2014-15,21401182,NOP,PHX,1,0.0,0,1.0,1.0,0.0,5.4,0.2,0.9091655266757924,0.2325581395348837,2014,train,regular
2014-15,21401183,OKC,SAC,1,0.0,0,2.0,1.0,1.0,-1.8,0.0,4.258823529411757,0.3892580287929125,2014,train,regular
2014-15,21401186,LAL,MIN,1,0.0,0,1.0,1.0,0.0,-0.6999999999999993,0.1,0.3761969904240914,0.0717896865520728,2014,train,regular
2014-15,21401184,DEN,DAL,0,0.0,0,1.0,1.0,0.0,-1.2000000000000002,-0.1,-6.627906976744185,-0.0842044134727061,2014,train,regular
2014-15,21401181,HOU,SAS,0,0.0,0,1.0,1.0,0.0,-15.8,-0.2,-2.279069767441868,0.2502768549280176,2014,train,regular
2014-15,21401185,UTA,MEM,0,0.0,0,1.0,1.0,0.0,-1.4,-0.0999999999999999,-2.104651162790688,-0.0238095238095238,2014,train,regular
2014-15,21401175,ORL,TOR,0,0.0,0,1.0,1.0,0.0,-7.0,-0.0999999999999999,-8.499999999999986,-0.198781838316722,2014,train,regular
2014-15,21401179,DET,IND,0,0.0,0,1.0,1.0,0.0,-1.5,0.0999999999999999,-1.211764705882345,0.1273532668881505,2014,train,regular
2014-15,21401180,NYK,MIL,0,0.0,0,1.0,1.0,0.0,-10.2,-0.3,-8.599999999999994,-0.1566998892580288,2014,train,regular
2014-15,21401178,CLE,BOS,0,0.0,0,1.0,1.0,0.0,6.1000000000000005,0.2,5.025034199726406,0.3150609080841639,2014,train,regular
2014-15,21401174,GSW,POR,1,0.0,1,1.0,0.0,1.0,2.2,0.1,5.11422708618332,0.4499999999999999,2014,train,regular
2014-15,21401173,MIA,CHI,0,0.0,1,1.0,0.0,1.0,-14.5,-0.3,-4.976744186046503,-0.0465367965367965,2014,train,regular
2014-15,21401166,MEM,NOP,1,0.0,1,3.0,0.0,3.0,-4.3,0.0,1.121988795518206,0.3051616562677254,2014,train,regular
2014-15,21401172,POR,MIN,1,0.0,1,1.0,0.0,1.0,13.0,0.3999999999999999,12.083333333333345,0.5476190476190477,2014,train,regular
2014-15,21401169,DEN,LAL,1,0.0,1,3.0,0.0,3.0,1.3000000000000007,-0.0999999999999999,2.8470588235294088,0.2192307692307692,2014,train,regular
2014-15,21401168,SAS,HOU,1,1.0,0,0.0,2.0,-2.0,14.3,0.0999999999999999,2.0235294117646987,0.1339977851605758,2014,train,regular
2014-15,21401170,UTA,SAC,1,0.0,1,2.0,0.0,2.0,1.0,0.0,4.322549019607834,0.2439024390243902,2014,train,regular
2014-15,21401171,DAL,PHX,1,0.0,1,3.0,0.0,3.0,1.2999999999999998,0.0,2.564705882352939,0.1755260243632336,2014,train,regular
2014-15,21401161,ORL,CHI,1,0.0,0,3.0,2.0,1.0,-12.4,-0.3,-7.764705882352956,-0.2032520325203252,2014,train,regular
2014-15,21401163,BKN,ATL,0,0.0,1,1.0,0.0,1.0,-2.4,0.3,-7.91107286288009,-0.1312427409988386,2014,train,regular
2014-15,21401167,MIL,CLE,0,0.0,0,3.0,2.0,1.0,-13.9,-0.4,-5.36904761904762,0.024390243902439,2014,train,regular
2014-15,21401164,DET,BOS,0,0.0,0,3.0,3.0,0.0,0.5,0.0999999999999999,-1.0236694677871157,0.048780487804878,2014,train,regular
2014-15,21401165,NYK,IND,0,0.0,0,2.0,2.0,0.0,-13.1,-0.3,-8.690476190476204,-0.065040650406504,2014,train,regular
2014-15,21401160,CHA,TOR,0,1.0,0,0.0,3.0,-3.0,-1.4,-0.0999999999999999,-5.388235294117649,-0.0482132728304027,2014,train,regular
2014-15,21401162,PHI,WAS,0,0.0,0,2.0,3.0,-1.0,0.2000000000000001,-0.3,-9.135294117647064,-0.1056910569105691,2014,train,regular
2014-15,21401154,ATL,PHX,1,0.0,0,2.0,2.0,0.0,1.9,0.0,4.477624784853703,0.3902439024390243,2014,train,regular
2014-15,21401158,SAC,MIN,1,0.0,0,1.0,3.0,-2.0,7.999999999999999,0.2,3.650602409638552,0.1846689895470383,2014,train,regular
2014-15,21401155,MIA,CHA,1,0.0,0,1.0,2.0,-1.0,-5.7,-0.1,-0.4093837535013875,0.099262620533182,2014,train,regular
2014-15,21401159,LAC,LAL,1,0.0,0,1.0,1.0,0.0,23.7,0.6000000000000001,11.996954595791806,0.4375764993880049,2014,train,regular
2014-15,21401156,NOP,GSW,1,0.0,0,2.0,1.0,1.0,-8.7,-0.4,-8.832600992204107,-0.0222222222222222,2014,train,regular
